,lat,lon,Name,FACILITIES,ROAD_NAME,CONTACT_NO,GYM,address1,cpno1,dist1,address2,cpno2,dist2,address3,cpno3,dist3
0,103.9518805,1.374281782,ActiveSG Pasir Ris Sport Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,Pasir Ris Central,Swimming Complex: 65835523; Sports Hall: 65838557; Tennis Centre: 65832696; Gym: 65839891; Soccer Court: 65838557,1,BLK 531/536 PASIR RIS DR 1/PASIR RIS CENTRAL,PR3,155,BLK 555A PASIR RIS STREET 51,PM22,157,BLK 544/556 PASIR RIS STREET 51,PR12,173
1,103.8025532,1.29617744,Queenstown ActiveSG Swimming Complex/Stadium,Swimming Complex/Stadium,Stirling Road,Swimming Complex/Stadium: 64737269,,3 MEI CHIN ROAD,Q49,33,BLK 49 STIRLING RD,Q14,57,BLK 151 MEI LING STREET,Q19,87
2,103.8749195,1.356412994,Serangoon Swimming Complex/ Stadium,Swimming Complex/ Stadium,Yio Chu Kang Road,Swimming Complex/Stadium: 62884606,,BLK 201/210 SERANGOON CENTRAL,SE19,143,BLK 415-420 LOR LEW LIAN,L1,190,BLK 2A LORONG LEW LIAN,SE29,199
3,103.7801961,1.43479121,Woodlands Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,Woodlands Street 12,Swimming Complex: 62694192; Sports Hall: 63652707; Stadium: 62693892; Gym: 63629101,1,BLK 344 WOODLANDS STREET 32,W23T,94,BLK 114-133 MARSILING RISE,W18,115,BLK 336-350 WOODLANDS STREET 32,W23,123
4,103.8615357,1.325444061,St Wilfred ActiveSG Sports Centre,Field/Tennis Centre,St Wilfred Road,Field/Tennis Centre/Squash Centre: 62933452,,BLK 20/23 ST GEORGE RD,SG3,71,BLK 116 JALAN TENTERAM,BRM6,73,BLK 14/19 ST GEORGE RD,SG2,83
5,103.8466212,1.382569954,Yio Chu Kang ActiveSG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,Ang Mo Kio Avenue 9,Swimming Complex: 64819054; Tennis Centre/Squash Centre/Gym: 64839370; Stadium/Sports Hall: 64824980,1,ANG MO KIO AVENUE 9,AK9,196,BLK 729/730 ANG MO KIO AVE 6/8,A55,237,BLK 725/730 ANG MO KIO AVE 8,A56,269
6,103.8319586,1.412099031,Yishun Sports Hall/Stadium/Gym,Sports Hall/Stadium/Gym,Yishun Avenue 1,Sports Hall/Stadium/Gym: 68518600; 68518601; 67567416,1,BLK 800-812 YISHUN RING ROAD,Y25,161,813 YISHUN RING ROAD,Y25M,168,BLK 821/830 YISHUN STREET 81,Y27,193
7,103.849451,1.310941078,Farrer Park Field,Field/Tennis Centre,Rutland Road,Field: 62994166; Tennis Centre: 62994166,,BLK 48/48A DURHAM ROAD,KJ3,107,BLK 49/50 DORSET ROAD,KJ2,149,BLK 37A CAMBRIDGE ROAD,KJM1,155
8,103.84957,1.363137367,Ang Mo Kio ActiveSG Swimming Complex,Swimming Complex,Ang Mo Kio Avenue 1,Swimming Complex: 64566821,,BLK 338/340 ANG MO KIO ST 32,A24,47,BLK 340 ANG MO KIO ST 32,A85,54,BLK 304/307/319 ANG MO KIO ST 31,A20,132
9,103.8206108,1.289929147,Delta Sport Centre,Swimming Complex/Sports Hall/Gym/Hockey Pitch,Tiong Bahru Road,Swimming Complex: 64747573; Sports Hall: 64747472; Gym: 64719037,1,ALEXANDRA RD,HE19,44,BLK 93/96 HENDERSON RD,HE17,96,BLK 96 HENDERSON ROAD,HRM,104
